#TYPE System.Management.Automation.PSCustomObject
"technique_id","technique_name","event_id","event_name","link_text","source_name","sec_rec_name"
"T1029","Scheduled Transfer","100",,,,
"T1029","Scheduled Transfer","101",,,,
"T1029","Scheduled Transfer","102",,,,
"T1029","Scheduled Transfer","103",,,,
"T1029","Scheduled Transfer","104",,,,
"T1029","Scheduled Transfer","105",,,,
"T1029","Scheduled Transfer","106",,,,
"T1029","Scheduled Transfer","107",,,,
"T1029","Scheduled Transfer","108",,,,
"T1029","Scheduled Transfer","109",,,,
"T1029","Scheduled Transfer","110",,,,
"T1029","Scheduled Transfer","111",,,,
"T1029","Scheduled Transfer","112",,,,
"T1029","Scheduled Transfer","113",,,,
"T1029","Scheduled Transfer","114",,,,
"T1029","Scheduled Transfer","115",,,,
"T1029","Scheduled Transfer","116",,,,
"T1029","Scheduled Transfer","117",,,,
"T1029","Scheduled Transfer","118",,,,
"T1029","Scheduled Transfer","119",,,,
"T1029","Scheduled Transfer","120",,,,
"T1029","Scheduled Transfer","121",,,,
"T1029","Scheduled Transfer","122",,,,
"T1029","Scheduled Transfer","123",,,,
"T1029","Scheduled Transfer","124",,,,
"T1029","Scheduled Transfer","125",,,,
"T1029","Scheduled Transfer","126",,,,
"T1029","Scheduled Transfer","127",,,,
"T1029","Scheduled Transfer","128",,,,
"T1029","Scheduled Transfer","129",,,,
"T1029","Scheduled Transfer","130",,,,
"T1029","Scheduled Transfer","131",,,,
"T1029","Scheduled Transfer","132",,,,
"T1029","Scheduled Transfer","133",,,,
"T1029","Scheduled Transfer","134",,,,
"T1029","Scheduled Transfer","135",,,,
"T1029","Scheduled Transfer","136",,,,
"T1029","Scheduled Transfer","137",,,,
"T1029","Scheduled Transfer","138",,,,
"T1029","Scheduled Transfer","139",,,,
"T1029","Scheduled Transfer","140",,,,
"T1029","Scheduled Transfer","141",,,,
"T1029","Scheduled Transfer","142",,,,
"T1029","Scheduled Transfer","143",,,,
"T1029","Scheduled Transfer","144",,,,
"T1029","Scheduled Transfer","145",,,,
"T1029","Scheduled Transfer","146",,,,
"T1029","Scheduled Transfer","147",,,,
"T1029","Scheduled Transfer","148",,,,
"T1029","Scheduled Transfer","149",,,,
"T1029","Scheduled Transfer","150",,,,
"T1029","Scheduled Transfer","151",,,,
"T1029","Scheduled Transfer","152",,,,
"T1029","Scheduled Transfer","153",,,,
"T1029","Scheduled Transfer","154",,,,
"T1029","Scheduled Transfer","155",,,,
"T1029","Scheduled Transfer","156",,,,
"T1029","Scheduled Transfer","157",,,,
"T1029","Scheduled Transfer","158",,,,
"T1029","Scheduled Transfer","159",,,,
"T1029","Scheduled Transfer","160",,,,
"T1029","Scheduled Transfer","161",,,,
"T1029","Scheduled Transfer","162",,,,
"T1029","Scheduled Transfer","163",,,,
"T1029","Scheduled Transfer","164",,,,
"T1029","Scheduled Transfer","165",,,,
"T1029","Scheduled Transfer","166",,,,
"T1029","Scheduled Transfer","167",,,,
"T1029","Scheduled Transfer","168",,,,
"T1029","Scheduled Transfer","169",,,,
"T1029","Scheduled Transfer","170",,,,
"T1029","Scheduled Transfer","171",,,,
"T1029","Scheduled Transfer","172",,,,
"T1029","Scheduled Transfer","173",,,,
"T1029","Scheduled Transfer","174",,,,
"T1029","Scheduled Transfer","175",,,,
"T1029","Scheduled Transfer","176",,,,
"T1029","Scheduled Transfer","177",,,,
"T1029","Scheduled Transfer","178",,,,
"T1029","Scheduled Transfer","179",,,,
"T1029","Scheduled Transfer","180",,,,
"T1029","Scheduled Transfer","181",,,,
"T1029","Scheduled Transfer","182",,,,
"T1029","Scheduled Transfer","183",,,,
"T1029","Scheduled Transfer","184",,,,
"T1029","Scheduled Transfer","185",,,,
"T1029","Scheduled Transfer","186",,,,
"T1029","Scheduled Transfer","187",,,,
"T1029","Scheduled Transfer","188",,,,
"T1029","Scheduled Transfer","189",,,,
"T1029","Scheduled Transfer","190",,,,
"T1029","Scheduled Transfer","191",,,,
"T1029","Scheduled Transfer","192",,,,
"T1029","Scheduled Transfer","193",,,,
"T1029","Scheduled Transfer","194",,,,
"T1029","Scheduled Transfer","195",,,,
"T1029","Scheduled Transfer","196",,,,
"T1029","Scheduled Transfer","197",,,,
"T1029","Scheduled Transfer","198",,,,
"T1029","Scheduled Transfer","199",,,,
"T1029","Scheduled Transfer","200",,,,
"T1052","Exfiltration Over Physical Medium","219",,,,
"T1052","Exfiltration Over Physical Medium","441",,,,
"T1052","Exfiltration Over Physical Medium","4657","A registry value was modified.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4657","Advanced Audit Logs","Monitor"
"T1020","Automated Exfiltration","4663","An attempt was made to access an object.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663","Advanced Audit Logs","Monitor"
"T1002","Data Compressed","4663","An attempt was made to access an object.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663","Advanced Audit Logs","Monitor"
"T1022","Data Encrypted","4663","An attempt was made to access an object.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663","Advanced Audit Logs","Monitor"
"T1020","Automated Exfiltration","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1002","Data Compressed","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1022","Data Encrypted","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1030","Data Transfer Size Limits","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1048","Exfiltration Over Alternative Protocol","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1041","Exfiltration Over Command and Control Channel","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1011","Exfiltration Over Other Network Medium","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1029","Scheduled Transfer","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1020","Automated Exfiltration","5156","The Windows Filtering Platform has permitted a connection.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5156","Advanced Audit Logs","Monitor"
"T1002","Data Compressed","5156","The Windows Filtering Platform has permitted a connection.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5156","Advanced Audit Logs","Monitor"
