#TYPE System.Management.Automation.PSCustomObject
"technique_id","technique_name","event_id","event_name","link_text","source_name","sec_rec_name"
"T1021","Remote Services","21","WmiEvent (WmiEventConsumerToFilter activity detected)","https://docs.microsoft.com/en-us/sysinternals/downloads/sysmon","Sysmon","Monitor"
"T1021","Remote Services","23","FileDelete (A file delete was detected)","https://docs.microsoft.com/en-us/sysinternals/downloads/sysmon","Sysmon","Depends"
"T1021","Remote Services","25",,,,
"T1021","Remote Services","41",,,,
"T1091","Replication Through Removable Media","219",,,,
"T1091","Replication Through Removable Media","219",,,,
"T1091","Replication Through Removable Media","421",,,,
"T1091","Replication Through Removable Media","421",,,,
"T1210","Exploitation of Remote Services","1000",,,,
"T1210","Exploitation of Remote Services","1001",,,,
"T1028","Windows Remote Management","4624","An account was successfully logged on.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624","Advanced Audit Logs","Monitor"
"T1028","Windows Remote Management","4624","An account was successfully logged on.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624","Advanced Audit Logs","Monitor"
"T1075","Pass the Hash","4624","An account was successfully logged on.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624","Advanced Audit Logs","Monitor"
"T1097","Pass the Ticket","4624","An account was successfully logged on.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624","Advanced Audit Logs","Monitor"
"T1076","Remote Desktop Protocol","4624","An account was successfully logged on.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624","Advanced Audit Logs","Monitor"
"T1021","Remote Services","4624","An account was successfully logged on.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624","Advanced Audit Logs","Monitor"
"T1077","Windows Admin Shares","4624","An account was successfully logged on.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624","Advanced Audit Logs","Monitor"
"T1021","Remote Services","4625","An account failed to log on.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4625","Advanced Audit Logs","Monitor"
"T1072","Third-party Software","4657","A registry value was modified.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4657","Advanced Audit Logs","Monitor"
"T1072","Third-party Software","4657","A registry value was modified.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4657","Advanced Audit Logs","Monitor"
